AngErr,Ecc,Tr
0.4416951078,8.4549208078,1
0.6531442108,5.0284290235,1
0.7060314038,8.3098843941,1
0.519978395,6.7102634655,2
0.3457223099,4.4702847172,2
0.2469210278,6.1742669994,2
0.702134882,6.2626312236,2
0.3179716241,1.341917183,2
1.2498014786,7.0617183209,2
0.5220481308,6.016178683,2
0.4085804356,1.7663641306,2
0.4320430176,5.6246647401,2
0.7719572666,7.9942801483,2
0.8212609843,3.766188006,2
0.34517526,6.1919198987,2
0.9551778893,6.1556243626,1
1.0415086326,3.8098543563,1
1.1500135869,7.718643683,1
0.8909321703,6.965769051,1
0.1373009363,1.2797050681,1
0.8101517892,5.1911538906,1
0.861700463,6.7470853348,1
0.3422617975,1.3456716523,1
0.4812509651,6.9731172145,1
0.7093907001,7.1226972536,1
0.9386118475,4.5379985913,1
0.9032745512,7.9369389648,1
0.5218535681,7.4299985931,4
0.5209128538,4.9627208744,4
0.6990127037,8.4897744774,4
0.1616243632,6.4692919633,4
0.3241553404,1.6965034473,4
0.8057015066,6.7975494681,4
1.10243811,6.7534832691,4
0.7712195143,1.8929395221,4
0.81249049,7.118556942,4
0.7316582944,8.4018836011,4
0.9961313232,5.0196743435,4
0.8387205091,7.4501414048,4
0.5328655581,7.0240418808,1
0.3573427642,4.4205447981,1
0.3900973661,7.8404519536,1
0.4224838218,7.0997565698,1
0.0805346696,1.9898888284,1
0.2307693673,7.00585321,1
0.4960365888,6.9540486434,1
0.4705960333,1.2009920292,1
0.6702220804,7.2758102674,1
0.5625080154,8.4340679256,1
0.9060330694,4.4390875543,1
1.0698906015,8.2807169269,1
1.1131944967,7.8390162823,2
0.6453374183,4.9799393654,2
0.65138352,9.1300212435,2
0.6441057401,6.4867970324,2
0.3648638918,1.9864064396,2
0.4656793986,6.9464674974,2
0.3509412092,7.4533730242,2
0.381774792,1.6064893555,2
0.5187613142,6.9381880497,2
0.9325709358,9.4934810532,2
0.772119293,5.8304537707,2
0.9266419403,8.2083003962,2
1.118843037,6.4745943281,3
0.7375448601,4.5675447164,3
0.5582517059,8.0875381697,3
0.6921977174,5.9992613329,3
0.2446609093,1.850111658,3
0.3915477638,7.2393791712,3
0.5923518977,6.7469414375,3
0.6258253113,1.0968383589,3
0.5073685459,5.9096965092,3
1.1274785449,9.1239743375,3
1.2040778743,4.8036522345,3
1.1751623453,6.584354151,3
0.8148661981,8.4854033611,4
0.4017075516,5.0488342067,4
0.5660361738,9.1981939745,4
0.5295906534,7.3810362211,4
0.1243828985,2.1539022864,4
0.4515988907,6.724957517,4
0.1722012576,7.8252944527,4
0.6851695371,1.4057868813,4
0.4331390327,7.0161088914,4
0.8677355968,8.8931035753,4
1.0127174625,5.8648507484,4
0.7407987524,8.6725497696,4
1.2261753784,9.5776839237,3
1.3534973571,6.0125949559,3
1.4424886481,9.9997501253,3
0.3765352291,8.3559929717,3
0.4150656776,2.1976801633,3
0.5634688627,8.0419219149,3
0.7026568917,8.5301779233,3
0.5034181569,1.9276733301,3
0.9469978743,7.8941091446,3
0.7508644473,10.21645317,3
0.9122200879,6.1918330591,3
0.7295481033,10.1466598237,3
1.4937019045,9.6268233799,4
0.9304334449,6.0680336207,4
0.8771734075,9.9769115216,4
0.8232541143,8.2187927897,4
0.2091731368,1.8703678968,4
0.5045570438,8.0078494553,4
0.3426751722,8.5755522807,4
0.4415317439,1.9554188307,4
0.3799501817,7.7859275585,4
1.0060762009,10.2737601207,4
1.5129665887,5.8132393401,4
1.1155940982,9.7456723953,4
2.0177207087,8.9428015683,1
1.4282157527,6.0911309641,1
1.2800342743,9.4609824001,1
1.7994550742,7.7795490074,1
0.5789295594,1.4287656859,1
0.1321612625,7.5251869485,1
1.0000904988,8.0721115339,1
0.8248222935,2.0286607096,1
0.5636811598,7.4541409864,1
1.1395932614,10.1815863041,1
1.4951097716,5.7161030446,1
1.3809916651,8.798502097,1
2.492285044,10.2409303657,2
1.9566187334,6.3364704003,2
2.1351292289,10.4823321984,2
0.5195896448,8.57726356,2
0.447194664,2.2685984403,2
0.833631119,8.5860658154,2
0.2161912007,8.9541462735,2
0.4301158095,2.2292516175,2
0.3664340054,8.5062848227,2
1.1563806632,10.6275581684,2
1.4290153348,6.289232659,2
0.9994748056,10.3417111992,2
1.5542321638,8.3722763678,4
0.511568505,4.8663132166,4
0.8755217274,8.5373850448,4
1.9711304539,7.8099578994,4
0.9130085649,1.9585008901,4
1.0815937279,7.3994524517,4
0.9403990122,7.6471050208,4
0.6613674142,1.672040669,4
0.5417384408,7.4394150794,4
1.5768743469,9.8280622183,4
1.2685243222,5.2268315695,4
1.0391636534,9.2474366273,4
1.2360202431,5.9563579893,3
0.5361250042,5.7454495962,3
0.9025143815,10.2760247816,3
1.0776881117,7.7599074958,3
0.4475164657,2.1276740472,3
0.048297671,7.2810474046,3
0.7987623453,8.6113916007,3
0.604715457,1.2022726983,3
1.0130150212,6.2369937297,3
0.7014975224,10.7503639508,3
1.0479209872,5.352613181,3
1.4817018587,8.2481907762,3
1.2054087114,7.7995303665,1
1.128870249,7.6245865966,1
0.9795463782,5.2967718996,1
1.1623019272,10.0320750133,1
1.1400208552,6.7376887835,1
0.2525208484,1.5521370693,1
0.1851874338,8.2173809958,1
1.0473510965,7.4739204693,1
0.5164374349,1.9943069756,1
0.3853142623,8.0886321384,1
1.161787326,9.4600821724,1
1.3685046166,6.0666252118,1
0.9697675974,9.2318003997,1
2.4418946235,5.8973905015,2
1.9485155944,4.6709738601,2
1.7165435215,9.0803192809,2
0.4546307175,8.1327798219,2
0.9544585221,1.6136833334,2
0.381483259,7.4890944062,2
0.3716073713,8.0434552118,2
0.7990109403,1.4240767258,2
0.9244428281,7.4856469763,2
1.3999997658,9.7003628344,2
1.547793455,4.669302378,2
1.4373353975,7.8254153645,2
1.1509618009,8.8218315021,2
0.8736101474,4.9791994992,2
0.9510758121,9.3346585261,2
1.4515499459,7.8922774228,2
0.2894400777,2.1761656092,2
0.6377301049,8.7979511874,2
0.652233154,8.4307580251,2
0.4720092652,1.5725490393,2
0.5435070839,7.7107183931,2
0.8503168069,10.1719442515,2
1.6387541045,5.5292376169,2
1.2938564999,9.9592199318,2
1.450835709,10.6400170892,1
1.3016376336,7.2015023532,1
1.6002598547,10.3864103727,1
1.099445839,9.0612406301,1
0.4463798427,2.5199625722,1
0.7904476152,8.1819564787,1
0.9986603367,8.802471559,1
0.5402882658,2.2736343542,1
0.3901975869,9.3497836238,1
1.2489441484,10.1671073885,1
1.563317635,6.9947411278,1
1.5957853198,11.05976978,1
1.0261250466,7.411504661,3
0.7438713841,5.5651961745,3
0.9613689015,10.3165454917,3
0.7753017414,7.9765451474,3
0.4552710024,1.7187275912,3
0.4412146653,7.6374980032,3
0.4130157681,9.1684432791,3
1.0570155593,2.6574009361,3
0.2989258188,8.3233446223,3
0.6401454609,10.2305464465,3
0.9859355492,4.9839819972,3
0.9747109686,8.7227147786,3
0.9403131177,7.945622294,4
0.5312580303,7.2487623739,4
0.7749626862,12.0512525963,4
0.2652440742,6.5985686148,4
0.2930380474,1.2302355975,4
0.5817394285,8.6253968205,4
0.6711808576,9.8283256429,4
0.4927483325,2.6195310032,4
0.7642661777,7.469378054,4
0.7287083227,11.4785787987,4
0.9353555413,6.0227202934,4
1.0408602985,8.4845156708,4
1.0508895683,9.1766824021,1
1.1367386616,5.8615731218,1
1.3395271502,10.1709318753,1
0.708430556,8.3474271927,1
0.2863997323,1.7385799134,1
0.4508442344,8.4745495565,1
0.4932904588,8.8567274189,1
0.5168752984,1.7270714439,1
0.6090622178,8.3190434167,1
0.9670084743,10.1914608881,1
1.0184622787,5.2818091205,1
1.2214608811,9.6058730034,1
0.9020968404,5.466533244,2
0.5883305182,4.7357385785,2
0.7857938625,9.7843135296,2
0.778885476,7.9436733743,2
0.3737408342,2.2236032839,2
0.2111067355,7.8274263716,2
0.565118671,8.7437468145,2
0.0719299798,1.5176365986,2
0.2996641874,7.3208357084,2
0.6678584342,10.2241410547,2
0.7237765951,5.5135077725,2
0.6637600824,8.6561347629,2
1.3105930376,11.0643028412,4
1.2149405238,5.1616517279,4
1.463724874,8.4190215099,4
0.3524325854,8.98239848,4
0.7276967098,1.5228399382,4
1.7170791693,8.3658064234,4
0.4640818871,8.0034521651,4
0.3646311108,1.6562666669,4
1.150846112,9.5405042922,4
1.3800364947,8.9852473432,4
0.8740408575,5.0499845744,4
0.0760310223,9.7507159449,4
1.7978685311,8.796976081,3
0.7448384132,5.1424306108,3
1.7034389335,10.1492404146,3
1.1949103223,8.0493073609,3
1.0215040386,2.0886461648,3
0.9985244362,8.3716786838,3
0.8795077051,8.6148515528,3
0.4286921075,1.7411232698,3
0.5667244363,7.4911462417,3
0.3882956413,10.4001212916,3
0.5297947129,5.4653519776,3
1.036854735,9.4093136652,3
0.7727823875,7.6074165003,3
0.7708919354,4.491576824,3
0.5590689083,8.5517594517,3
0.9393373137,7.1971733097,3
0.211515927,1.3523109773,3
0.3746639775,6.9969172929,3
0.4387331865,8.5245685178,3
0.4281231889,1.5141090675,3
0.4082449435,7.1340460356,3
1.0986396932,8.3554266239,3
1.1083274186,4.3209435346,3
0.6608212559,8.6602135332,3
0.6104243285,7.6665195595,4
0.120306306,3.8367155064,4
0.1469974771,7.6025714304,4
0.1207012512,8.6944995053,4
0.2611544996,2.2956839608,4
0.3467892119,6.7174998755,4
1.5251549679,7.2069633787,4
1.4970947092,2.1239416918,4
0.9601454394,8.0580935774,4
1.5057842241,8.1306568734,4
1.387867111,4.0457582344,4
1.0027938264,7.992940842,4
1.0746004348,7.379342769,2
0.8314009464,4.8658890642,2
0.8169690624,8.9165853454,2
0.8061771107,8.2722909216,2
0.3084089242,1.6444037407,2
0.333611931,7.1988424562,2
1.0571774105,8.6325279229,2
0.8995300893,1.7169258813,2
0.9036985265,7.7190563372,2
0.9837251547,9.3825991504,2
1.3124423532,3.911494941,2
1.4051553967,8.3668065739,2
1.1958353158,8.7397276798,1
0.9404520139,4.9014017485,1
1.1682096424,9.3656485643,1
0.5961404214,7.7468975922,1
0.395561846,1.6008823587,1
1.1230058025,7.6523251887,1
0.6883911878,8.4184301657,1
0.554636873,1.6192780347,1
0.9872874383,7.6088301273,1
1.1581029521,9.340872852,1
1.4811335925,5.2977772013,1
1.8614923853,8.6235063894,1
1.3628338092,9.8903695933,2
1.1912261002,6.1044803575,2
1.6430200693,10.3993930621,2
0.5736780755,8.5188948557,2
0.757865353,2.1013389094,2
1.104430728,8.7110367527,2
0.6207139699,8.9159016227,2
0.343516049,1.6281005631,2
0.6943469846,8.3645087216,2
1.4162479943,10.7057603764,2
1.2424996726,6.3408225766,2
0.9367577091,10.4397151313,2
1.5197375739,9.4894802759,1
1.5163195289,6.2502873429,1
1.6364790367,10.2744068403,1
0.6108198931,8.397704886,1
0.6231228312,2.1899100693,1
0.9378860526,8.3571013331,1
0.4682649139,8.3913799841,1
0.5954464138,2.0493788556,1
0.5054395667,8.1278447924,1
1.1957366391,10.5385777054,1
1.3536908642,6.2792927607,1
1.1228548765,10.1578699655,1
0.9899933948,8.8080896091,3
1.5051072945,9.038739516,3
1.1420632282,5.6263730018,3
0.6729376028,10.4830071146,3
0.8789511009,7.7190374074,3
0.2036450346,1.7150588997,3
0.5016557625,9.0921125634,3
0.4071380148,8.4173311617,3
0.6345492138,2.4349324989,3
0.221433694,8.8578441848,3
0.8075909939,10.4802075062,3
0.6902194214,6.0937503343,3
0.5935464712,10.7741368751,3
1.3565334009,9.4327475397,4
1.1537646022,7.0023382163,4
1.284198139,10.7657887323,4
0.5358482534,8.032348422,4
0.3749146776,1.8504328191,4
0.6622241046,7.9648910839,4
0.2319918564,8.6760146493,4
0.5934087455,1.9943479116,4
0.3876995122,7.6956651864,4
0.9567738648,11.0002600744,4
1.1884943328,6.2784676263,4
0.9744613686,9.6385232436,4
1.4204457785,8.8345795718,1
1.1655011252,5.3818951373,1
1.3836032535,10.0811468966,1
0.7226232845,7.4750968567,1
0.3130855394,1.0440625665,1
0.6316451884,7.2727253114,1
0.3344808712,8.374469793,1
0.4717523106,1.595397892,1
0.7304730668,7.7922014369,1
1.0898825724,8.9862378794,1
1.2745593924,4.6222180439,1
1.0571702663,8.4382901598,1
0.8833310177,8.9652853733,2
0.7886513812,5.2508467651,2
0.9861617145,9.1970942842,2
0.6278040169,7.3819643417,2
1.2954912063,1.5140842757,2
0.4084025805,7.606257395,2
0.2800116998,7.5028506292,2
0.5078688051,1.8271348904,2
0.4382888697,7.3558969888,2
0.7769240104,9.1294604852,2
0.9602723256,5.2033021568,2
0.7571963044,8.9100856008,2
1.2978290105,7.4881351545,3
0.9065039431,4.6323217988,3
1.157228797,9.1777496926,3
0.881969393,7.7492487116,3
0.322661334,1.6133111706,3
0.479489518,7.8583251363,3
0.8754513009,8.0583530439,3
0.3490150212,1.3602351827,3
0.8901434433,7.5899060531,3
1.4424102917,9.4702370999,3
1.6071614679,5.6540456579,3
1.3307540455,8.8955337349,3
1.6440756376,9.9158657039,4
1.7299068623,5.5724641587,4
2.1614793107,9.3554434204,4
1.0789537799,8.3491407187,4
0.8273666574,2.0114816889,4
1.4408633112,7.6807346955,4
0.6182384667,8.1339929465,4
0.661410168,1.9982049719,4
0.8262594018,8.3131638871,4
1.379222008,9.1347926777,4
1.3676210276,5.7431987242,4
1.1685224388,10.6576219373,4
1.4592667276,9.4241378802,3
1.0390209382,5.6770702485,3
1.3522707481,9.3272921831,3
0.6827324093,7.9058148806,3
0.4846229898,1.9974870434,3
0.6303180338,7.6302555514,3
0.5617758558,7.6537873497,3
0.5434560087,1.8659329254,3
0.4610882484,7.9029541299,3
1.3142990976,9.4469071795,3
1.566132536,5.916909087,3
1.3319609761,9.6855535569,3
1.2443895024,8.8702233292,1
1.4289287989,5.3634546553,1
1.5085445091,9.2959328512,1
1.1016658243,7.5892462441,1
0.7169434959,1.7923652686,1
0.8103655618,7.4992799466,1
0.7965478373,7.5509143378,1
0.237609776,1.4290797411,1
0.2725245656,7.4833940963,1
0.611978646,9.2448519633,1
1.1998058192,5.771762282,1
1.2184255745,9.2310404526,1
1.4558135016,9.2094668858,2
1.2654475392,6.1412185315,2
0.9012281548,9.5533477164,2
1.1600825131,8.0483542054,2
0.6658722676,2.1390875825,2
0.2054053163,7.9493661857,2
1.1267646203,8.1486090708,2
1.5209971843,2.2813622403,2
0.9624411459,7.898564639,2
1.69479092,10.0072883188,2
1.8764472626,5.8094966348,2
1.9314064352,9.4703585946,2
2.6473805791,8.510586122,4
2.233760381,5.0439790029,4
2.3107404301,9.4146775037,4
1.31510722,8.0311237496,4
0.5881561219,1.0795210375,4
0.651676198,7.5245922748,4
0.4008598415,8.3388716973,4
0.4569179038,1.596332776,4
0.4609416269,7.6476170431,4
0.6971601187,9.6193425536,4
0.9016070417,4.6803849375,4
0.4461079449,8.5194354131,4
1.1719947033,9.6428351425,3
1.0117140169,5.2482162046,3
1.0436749914,8.7144939013,3
0.6711651907,7.8925934552,3
0.30039179,1.35658287,3
0.4026328355,7.7061926368,3
0.7293444858,7.7959128418,3
0.4558275957,1.2919314294,3
0.1795461927,8.3031237926,3
0.8179224573,9.2894024237,3
0.9995048226,5.3422120969,3
0.5649586785,9.1399734995,3
1.180268037,9.3055966441,2
0.6683706453,4.2938873625,2
0.7299377576,4.1525272936,2
0.8528080968,7.8904082495,2
0.678732849,7.8537695439,2
0.54267339,8.2176367835,2
0.1060678156,0.9495745415,2
0.4354180653,7.2996417652,2
0.3372771378,8.7320326096,2
0.3029630174,2.5287948521,2
0.5545570651,7.11152154,2
1.0639980153,10.5604989498,2
1.0002880104,5.9701598915,2
0.9507656515,8.9502152459,2
0.7319207882,9.059911538,1
0.8398043292,5.1346385707,1
1.588321363,9.1969010336,1
0.4432190397,7.9304210495,1
0.4790561421,1.8816311681,1
0.7225990772,8.010392502,1
0.2449142487,7.7903089046,1
0.5101800912,1.8894591204,1
1.0332902236,7.7270745853,1
0.9496041679,9.5824032218,1
1.6467693185,5.200829584,1
1.0960244384,8.8460119321,1
0.8262320956,7.1532197566,3
0.654267952,5.2190126365,3
0.7464455736,8.0045740664,3
0.756484346,7.6122463833,3
0.5967357453,1.5523867563,3
0.5151172583,7.4997953121,3
0.4963073443,7.7060798308,3
0.1422418347,2.161499647,3
0.3694219575,7.4270420473,3
0.7268139821,8.8991838119,3
0.3136916673,4.9348779012,3
0.4730460474,8.3289360146,3
0.6311712074,10.1578611022,4
0.4010079247,5.2169188041,4
0.3430452307,8.5840247827,4
0.2073530244,8.100581167,4
0.2514445375,1.3725387523,4
0.2063223405,7.8493062183,4
0.7479877951,7.4506218596,4
0.3197104415,2.4960886144,4
0.158738913,8.2330473645,4
0.5114033525,8.8074943009,4
0.5309275898,5.0307136944,4
0.7471200628,9.4388030499,4
0.8544818323,9.6201041981,2
0.277524354,4.6824717129,2
0.368036922,8.5196063128,2
0.3291667478,7.5135188673,2
0.0420855022,1.1215785736,2
0.2689311893,7.9671574417,2
0.511354268,7.0820140171,2
0.2085031331,1.1847778145,2
0.5309930294,7.4462537927,2
0.2788303172,8.6611052116,2
0.4131086134,5.4238647944,2
0.4912247319,9.3913434592,2
0.10578277,8.9767376444,1
0.2278567794,4.6493194589,1
0.5243240567,8.2998645342,1
0.5707629878,7.6894839329,1
0.2383719388,1.5547467266,1
0.2597272165,7.5332336067,1
0.7878699104,7.1211563436,1
0.4418992469,1.1625855755,1
0.3224768259,7.1389336471,1
0.8391633458,8.8762055726,1
